"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 06 19:43:12 GMT 2025","Tue May 06 19:44:10 GMT 2025","58022","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project[driver0]","User should be able to create project"
"passed","Tue May 06 19:40:26 GMT 2025","Tue May 06 19:42:06 GMT 2025","99572","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build[driver0]","User should be able to create build"
"passed","Tue May 06 19:39:11 GMT 2025","Tue May 06 19:40:18 GMT 2025","66469","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server[driver0]",""
"passed","Tue May 06 19:42:06 GMT 2025","Tue May 06 19:43:12 GMT 2025","66794","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build_without_name[driver0]","User should not be able to create build without a name"
"passed","Tue May 06 19:44:10 GMT 2025","Tue May 06 19:44:10 GMT 2025","0","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project_without_name[driver0]",""
