"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 03 14:05:14 GMT 2025","Thu Apr 03 14:06:38 GMT 2025","84355","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build","User should be able to create build"
"passed","Thu Apr 03 14:03:58 GMT 2025","Thu Apr 03 14:05:05 GMT 2025","66548","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server",""
"passed","Thu Apr 03 14:08:22 GMT 2025","Thu Apr 03 14:08:22 GMT 2025","0","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project_without_name",""
"broken","Thu Apr 03 14:07:18 GMT 2025","Thu Apr 03 14:08:21 GMT 2025","62569","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project","User should be able to create project"
"passed","Thu Apr 03 14:06:41 GMT 2025","Thu Apr 03 14:07:17 GMT 2025","35844","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build_without_name","User should not be able to create build without a name"
