"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 03 20:11:22 GMT 2025","Thu Apr 03 20:12:20 GMT 2025","57759","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project","User should be able to create project"
"passed","Thu Apr 03 20:10:13 GMT 2025","Thu Apr 03 20:11:21 GMT 2025","67741","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build_without_name","User should not be able to create build without a name"
"passed","Thu Apr 03 20:12:21 GMT 2025","Thu Apr 03 20:12:21 GMT 2025","0","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project_without_name",""
"passed","Thu Apr 03 20:07:12 GMT 2025","Thu Apr 03 20:08:24 GMT 2025","72128","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server",""
"passed","Thu Apr 03 20:08:31 GMT 2025","Thu Apr 03 20:10:11 GMT 2025","100563","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build","User should be able to create build"
