"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 14 13:47:58 GMT 2025","Wed May 14 13:48:55 GMT 2025","57566","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project[driver0]","User should be able to create project"
"passed","Wed May 14 13:48:56 GMT 2025","Wed May 14 13:48:56 GMT 2025","1","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project_without_name[driver0]",""
"passed","Wed May 14 13:46:47 GMT 2025","Wed May 14 13:47:54 GMT 2025","67739","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build_without_name[driver0]","User should not be able to create build without a name"
"passed","Wed May 14 13:44:11 GMT 2025","Wed May 14 13:45:17 GMT 2025","66317","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server[driver0]",""
"broken","Wed May 14 13:45:23 GMT 2025","Wed May 14 13:46:45 GMT 2025","81483","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build[driver0]","User should be able to create build"
