"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 03 16:50:44 GMT 2025","Thu Apr 03 16:51:51 GMT 2025","67275","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server",""
"passed","Thu Apr 03 16:53:42 GMT 2025","Thu Apr 03 16:54:49 GMT 2025","67465","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build_without_name","User should not be able to create build without a name"
"passed","Thu Apr 03 16:51:59 GMT 2025","Thu Apr 03 16:53:40 GMT 2025","101449","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build","User should be able to create build"
"passed","Thu Apr 03 16:54:51 GMT 2025","Thu Apr 03 16:55:48 GMT 2025","56981","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project","User should be able to create project"
"passed","Thu Apr 03 16:55:49 GMT 2025","Thu Apr 03 16:55:49 GMT 2025","1","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project_without_name",""
