"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 06 13:28:53 GMT 2025","Tue May 06 13:30:32 GMT 2025","98452","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server",""
"passed","Tue May 06 13:32:30 GMT 2025","Tue May 06 13:33:45 GMT 2025","75129","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build_without_name","User should not be able to create build without a name"
"passed","Tue May 06 13:33:48 GMT 2025","Tue May 06 13:34:52 GMT 2025","63856","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project","User should be able to create project"
"broken","Tue May 06 13:30:40 GMT 2025","Tue May 06 13:32:27 GMT 2025","107236","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build","User should be able to create build"
"passed","Tue May 06 13:34:55 GMT 2025","Tue May 06 13:34:55 GMT 2025","1","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project_without_name",""
