"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Apr 03 15:11:40 GMT 2025","Thu Apr 03 15:13:04 GMT 2025","83722","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build","User should be able to create build"
"passed","Thu Apr 03 15:15:29 GMT 2025","Thu Apr 03 15:15:29 GMT 2025","1","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project_without_name",""
"passed","Thu Apr 03 15:10:26 GMT 2025","Thu Apr 03 15:11:32 GMT 2025","66632","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server",""
"broken","Thu Apr 03 15:13:06 GMT 2025","Thu Apr 03 15:14:34 GMT 2025","88599","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build_without_name","User should not be able to create build without a name"
"passed","Thu Apr 03 15:14:36 GMT 2025","Thu Apr 03 15:15:28 GMT 2025","52148","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project","User should be able to create project"
