"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 03 16:01:11 GMT 2025","Thu Apr 03 16:02:24 GMT 2025","72858","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server",""
"broken","Thu Apr 03 16:02:29 GMT 2025","Thu Apr 03 16:04:15 GMT 2025","106358","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build","User should be able to create build"
"passed","Thu Apr 03 16:04:17 GMT 2025","Thu Apr 03 16:05:24 GMT 2025","67398","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build_without_name","User should not be able to create build without a name"
"passed","Thu Apr 03 16:06:24 GMT 2025","Thu Apr 03 16:06:24 GMT 2025","0","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project_without_name",""
"passed","Thu Apr 03 16:05:26 GMT 2025","Thu Apr 03 16:06:23 GMT 2025","57007","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project","User should be able to create project"
