"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 12 15:57:11 GMT 2025","Mon May 12 15:58:30 GMT 2025","78399","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build[driver0]","User should be able to create build"
"broken","Mon May 12 15:58:30 GMT 2025","Mon May 12 15:58:30 GMT 2025","228","tests.ui_tests","test_create_build","TestCreateBuild","","","test_user_creates_build_without_name[driver0]","User should not be able to create build without a name"
"passed","Mon May 12 15:55:54 GMT 2025","Mon May 12 15:57:04 GMT 2025","69706","tests.ui_tests","test_setup_server","TestSetupServer","","","test_setup_teamcity_server[driver0]",""
"broken","Mon May 12 15:58:31 GMT 2025","Mon May 12 15:58:31 GMT 2025","0","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project_without_name[driver0]",""
"broken","Mon May 12 15:58:31 GMT 2025","Mon May 12 15:58:31 GMT 2025","150","tests.ui_tests","test_create_project","TestCreateProject","","","test_user_creates_project[driver0]","User should be able to create project"
